entity,entity_type,freq
giuffre,PERSON,683
maxwell,PERSON,409
maxwell,ORG,336
virginia,GPE,332
pagliuca,PERSON,244
edwards,PERSON,169
florida,GPE,145
new york,GPE,143
palm beach,GPE,113
jeffrey,PERSON,105
ghislaine maxwell,PERSON,103
menninger,PERSON,77
barden,PERSON,76
cid3,ORG,64
a reply,PERSON,53
mccawley,PERSON,43
sdny,GPE,42
recarey,ORG,41
sharon churcher,PERSON,39
virginia l giuffre,PERSON,39
denver,GPE,38
us,GPE,37
maralago,PERSON,36
fbi,ORG,33
prince andrew,PERSON,33
laura a menninger,PERSON,31
gow,PERSON,30
cid20cid20,ORG,28
london,GPE,27
kelli ann willis,PERSON,26
john,PERSON,26
ny,GPE,24
paris,GPE,22
sarah,PERSON,21
cassell,PERSON,20
ross gow,PERSON,20
mccawley dec,PERSON,20
fed,ORG,18
9 a,PERSON,18
sarah kellen,PERSON,18
boeing,ORG,17
pagliusca,PERSON,17
sharon,PERSON,17
crr,ORG,16
 inc,ORG,16
marra,PERSON,14
page3,ORG,14
davis,PERSON,13
cid20cid26,ORG,13
kellen,PERSON,13
  ,ORG,13
page5,PERSON,13
r civ,PERSON,13
david,PERSON,12
miamidade,GPE,12
sjoberg,PERSON,12
andrew,PERSON,12
seemccawley dec,PERSON,11
page17,PERSON,11
page15,GPE,11
khalil,ORG,11
joseph recarey,PERSON,11
page11,GPE,11
page6,PERSON,11
s mccawley,PERSON,11
cid3cid26,ORG,10
pc,GPE,10
po,GPE,10
page23,PERSON,10
esq,GPE,10
o28u6r,ORG,10
ghislane maxwell,PERSON,9
gm,ORG,9
churcher,PERSON,9
haddon,ORG,9
jfk,PERSON,9
uk,GPE,9
spain,GPE,9
larry,PERSON,9
vrs,ORG,9
page32,PERSON,9
morgan,ORG,9
nj,ORG,9
page26,PERSON,9
page28,GPE,9
page27,PERSON,8
foreman pc,ORG,8
giuffre v maxwell,PERSON,8
januar,ORG,8
a no,PERSON,8
page25,PERSON,8
france,GPE,8
bahamas,GPE,8
boies schiller  flexner,ORG,8
x88,PERSON,8
boies schiller  flexner llp,ORG,8
adam perry lang,PERSON,8
andersson,PERSON,7
julie brown,PERSON,7
giuffrehas,PERSON,7
fl7,GPE,7
page45,PERSON,7
miami,GPE,7
j edwards,PERSON,7
page13,PERSON,7
page37,GPE,7
page44,GPE,7
jeffrey pagliuca,PERSON,7
page22,GPE,7
larry visoski,PERSON,7
juan alessi,PERSON,7
exp,PERSON,6
page54,PERSON,6
sliame,PERSON,6
cindy lopez,PERSON,6
fla,GPE,6
esq,ORG,6
jeffrey,ORG,6
johanna sjoberg,PERSON,6
page49,GPE,6
page57,ORG,6
pamela j hansen,PERSON,6
michael,PERSON,6
page66,PERSON,6
page47,ORG,6
page58,PERSON,6
jeff,PERSON,6
page64,PERSON,6
page53,PERSON,6
jeffrey s pagliuca,PERSON,6
las olas boulevard,ORG,6
juan,PERSON,5
liame,ORG,5
bradley j edwards,PERSON,5
cid37cid60cid306cid17cid301115cid29cid3cid3,ORG,5
x8ex,ORG,5
bbc,ORG,5
yahoo,ORG,5
cid37cid60cid306cid17cid301115cid29cid3,ORG,5
morgan  foreman,ORG,5
mccawley decl,PERSON,5
page67,GPE,5
paul g cassell,PERSON,5
page14,GPE,5
nys2d,ORG,5
dc,GPE,5
s mccawley paul g cassell,PERSON,5
ecf,ORG,5
page73,PERSON,5
npr,ORG,5
harvard,ORG,5
haddon morgan  foreman pc,ORG,5
page9 of,ORG,5
figueroa,PERSON,5
pl,PERSON,5
marvin minsky,PERSON,5
james,PERSON,5
 9,ORG,5
1w,ORG,5
   ,ORG,5
abc,ORG,5
house,ORG,4
us virgin islands,GPE,4
rodgers dep,ORG,4
david boies,PERSON,4
sj,GPE,4
  fl7,ORG,4
james michael,PERSON,4
page59,PERSON,4
giuffrewas,PERSON,4
v khalil,PERSON,4
sd,GPE,4
cid3grqcid10wcid3uhphpehucid17,ORG,4
page29 of,ORG,4
david rodgers,PERSON,4
decl,PERSON,4
page33,PERSON,4
giuffre005431005438,ORG,4
page51,GPE,4
s pagliuca,PERSON,4
jessica,PERSON,4
cid20cid17,ORG,4
karla layfield,PERSON,4
rinaldo rizzo,PERSON,4
england,GPE,4
q maxwell,PERSON,4
pennsylvania,GPE,4
exc,ORG,4
michael cernovich,PERSON,4
mike,PERSON,4
rmr,PERSON,4
illinois,GPE,4
nadia marcinkova,PERSON,4
gow,ORG,4
fl  ,ORG,4
i ms,ORG,3
cmecf,PERSON,3
cnn,ORG,3
ic,GPE,3
page60 of,ORG,3
california,GPE,3
brad edwards,PERSON,3
maine,GPE,3
granada,ORG,3
page68,ORG,3
addison,GPE,3
a well,PERSON,3
canada,GPE,3
google news,ORG,3
j1,PERSON,3
nick sommerlad,PERSON,3
m8fr,GPE,3
marcinkova,PERSON,3
lyn miller,PERSON,3
mg,ORG,3
michael  ,ORG,3
juan  ,ORG,3
msj,PERSON,3
na,GPE,3
