,entity,freq
312,giuffre v maxwell,8
236,dibella v hopkins,3
296,friedman v meyers,2
376,greenberg v cbs inc,2
738,seegiuffre v maxwell,2
257,egiazaryan v zalmayev,2
386,hawkins v harris,2
482,karedes v ackerley grp,2
397,hoffman v landers,2
703,rinaldi v viking penguin inc,2
228,davis v boeheim,2
145,blair v inside ed,2
212,croy v ao fox meml,2
614,ollman v evans,1
126,baiul v disson,1
756,sweeney v prisoners,1
691,rand v new,1
728,salahuddin v goord,1
293,folwell v miller,1
143,black v green harbour,1
498,kelly v albarino,1
181,chambers v wells fargo bank,1
179,cerasani v sony,1
163,brown v maxwell,1
