,entity,freq
308,giuffre,683
559,maxwell,409
659,pagliuca,244
253,edwards,169
436,jeffrey,105
304,ghislaine maxwell,103
572,menninger,77
132,barden,76
563,mccawley,43
744,sharon churcher,39
540,maralago,36
678,prince andrew,33
369,gow,30
492,kelli ann willis,26
455,john,26
734,sarah,21
177,cassell,20
564,mccawley dec,20
715,ross gow,20
735,sarah kellen,18
660,pagliusca,17
743,sharon,17
550,marra,14
489,kellen,13
225,davis,13
688,r civ,13
107,andrew,12
218,david,12
748,sjoberg,12
725,s mccawley,11
471,joseph recarey,11
740,seemccawley dec,11
514,larry,9
447,jfk,9
187,churcher,9
305,ghislane maxwell,9
89,adam perry lang,8
412,j edwards,7
340,giuffrehas,7
515,larry visoski,7
478,julie brown,7
440,jeffrey pagliuca,7
106,andersson,7
475,juan alessi,7
576,michael,6
269,exp,6
209,cindy lopez,6
441,jeffrey s pagliuca,6
749,sliame,6
435,jeff,6
474,juan,5
421,james,5
726,s mccawley paul g cassell,5
285,figueroa,5
158,bradley j edwards,5
565,mccawley decl,5
554,marvin minsky,5
664,paul g cassell,5
578,michael cernovich,4
224,david rodgers,4
355,giuffrewas,4
727,s pagliuca,4
230,decl,4
424,james michael,4
580,mike,4
708,rmr,4
684,q maxwell,4
220,david boies,4
445,jessica,4
704,rinaldo rizzo,4
450,joanne,3
448,jim jansen,3
348,giuffreon,3
548,marcinkova,3
156,brad edwards,3
434,jeanluc,3
528,lyn miller,3
222,david mercer,3
221,david brown,3
311,giuffre named,3
428,janusz banasiak,3
211,cmecf,3
592,msj,3
722,ryan kick,3
608,nick sommerlad,3
758,sys,3
705,rinaldo rizzos,3
707,rizzo,3
724,ryan michael  ,2
729,salman david  ,2
351,giuffresaid,2
341,giuffreheld,2
732,sanford kevin,2
736,schroeder glenn  ,2
778,vasquez sosmar  ,2
249,dyer,2
251,e mr,2
803,x f,2
799,willson joseph  ,2
254,edwards adv,2
266,exg,2
798,willson howard  ,2
797,willoughby william  ,2
267,exi,2
796,williams jacqueline,2
795,williams arhon  ,2
794,williams,2
268,exii,2
791,weisman brian  ,2
787,wallace philip  ,2
271,exx,2
282,fianc,2
379,guiffre,2
553,marvin,2
391,henry jarecki,2
469,joseph,2
472,joseph recareys,2
609,nixon,2
457,john alessi,2
494,kelly a,2
606,nick,2
605,nicholas f borgia,2
527,luis  ,2
530,lynn miller,2
589,morris,2
532,m d,2
577,michael  ,2
465,jones,2
723,ryan megan  ,2
712,rosemary s pooler,2
573,menninger decl,2
721,russeau heidi  ,2
719,rubio pascual,2
417,jack scarola,2
713,rosenberg bradley  ,2
710,romeus melege  ,2
709,robsham lydie  ,2
706,rivero alicia  ,2
693,regninnem,2
689,rabuyo,2
683,q granada,2
670,philip barden,2
669,perry lang,2
245,doug band,2
813,zwick danielle,2
137,bernard j jansen,2
97,alan m,2
157,bradley edwards,2
223,david rodger,2
95,al gore,2
110,ann lundberg,2
150,boies,2
121,b malice,2
122,b new york,2
99,alfredo rodriguez,2
109,angela,2
119,b c,2
104,anderson,2
185,chen,2
142,black,2
612,noufal michel  ,1
604,nelson lisa  ,1
116,ashenbrenner william  ,1
115,aquino jorge  ,1
607,nick simmons,1
113,appendix b,1
114,appendix c,1
