,entity,freq
985,fbi,33
80,boeing,17
1127,morgan,9
994,foreman pc,8
83,boies schiller  flexner llp,8
1093,las olas boulevard,6
1051,harvard,5
1049,haddon morgan  foreman pc,5
60,abc,5
1143,npr,5
76,bbc,5
1310,yahoo,5
61,abc news,3
1042,google news,3
1272,royal palm inc,3
1045,granada,3
957,cnn,3
1290,v home  office inc,3
77,bbc news,3
955,civmarrajohnson,2
1294,velasquez rodollfo,2
976,exbb,2
1149,ohagan wolfe,2
996,fox news,2
1116,medical  surgical,2
1123,miller,2
1134,nadia bjorlin,2
1136,nbc news,2
1140,new york,2
1144,ny usa,2
1041,google,2
1276,sasaki shoko,2
1064,indem,2
1254,playboy,2
1250,palm beach,2
81,boies schiller,2
984,faraci franklin,1
998,gedeum rosalie,1
999,geraci,1
960,cruz lonjino,1
958,cronin sonia,1
956,click forensics inc,1
972,elwell douglas,1
973,england,1
965,dubois lydia,1
1284,swiderski mark,1
1283,simms amanda,1
1282,silence inc,1
1281,sidonie,1
1280,seemccawley decl,1
1279,seemccawley,1
1311,yahoo news,1
1253,pimps,1
1252,parade inc,1
1251,palomba amanda,1
1264,rena,1
1265,rennie kerry,1
1271,royal palm beach,1
1060,i many,1
1059,i background,1
1056,hyperion air inc,1
1069,jackson  echols,1
84,brinckerhoff,1
1082,kam,1
1073,jege inc,1
1079,juliana,1
1076,joe,1
79,blago,1
1074,jennie,1
1053,hong david,1
1052,has,1
1039,goldrich amanda,1
1040,gomaa,1
1043,goupy bernad,1
1046,griffin mark,1
1048,haddon morgan  foreman,1
1050,hagen,1
1089,kirkland  ellis,1
1139,neiman,1
1135,nadia marcinkova,1
1132,munford cheryl,1
1131,msn news,1
1130,msj,1
1148,office inc,1
1150,oxford,1
1152,p p,1
1126,moree darlene,1
1091,lago club,1
1100,madamas,1
69,andor ms,1
70,aol news,1
1102,maralago,1
1101,mannion deidre,1
1125,mission inc,1
1097,lynnmiller,1
72,ash carol,1
1094,leo,1
1092,laguardia,1
1112,mcdonald amanda,1
1113,mcdonald deborah,1
1115,media ms,1
1117,mesa uenoi,1
65,air inc,1
1122,milka,1
